Place_Id;Place_Name;Description;Category;Rating;Coordinate
1;Danau Toba;Danau Toba adalah danau alami berukuran besar di Indonesia yang berada di kaldera Gunung Supervulkan. Danau ini memiliki panjang 100 kilometer, lebar 30 kilometer, dan kedalaman 508 meter. Danau ini terletak di tengah pulau Sumatra bagian utara dengan ketinggian permukaan sekitar 900 meter.;Tempat Wisata;4,5;2.791802733004492, 98.61619472498204
2;Pantai Tanjung Kelayang;Pantai Tanjung Kelayang merupakan salah satu pantai yang terletak di Kepulauan Bangka Belitung. Lokasinya berada di Kecamatan Sijuk dan berjarak sekitar 27 kilometer dari Tanjung Pandan yang merupakan ibu kota Kabupaten Belitung;Tempat Wisata;4,5;-2.560284066527239, 107.67236188282935
3;Pantai Tanjung Lesung;Tanjung Lesung juga dikenal sebagai kawasan resort pantai terbesar dengan area seluas 1500 hektar dan telah menjadi pilihan wisatawan lokal dan asing. Dalam pembangunannya, Tanjung Lesung tak hanya melakukannya secara mandiri. Tapi juga membuka kerjasama dengan berbagai developer dan pebisnis untuk membangun bisnis tourism, seperti hotel, villa, cafe, theme park, agrowisata dan lain-lain.;Tempat Wisata;4;-6.478558974986521, 105.65576505333597
4;Pulau Seribu;Kepulauan Seribu adalah salah satu wilayah administrasi yang berada di sebelah utara Kota Jakarta. Meski jumlah pulau yang ada sebenarnya tidak sampai seribu, wilayah ini memiliki sederet pulau-pulau indah dengan daya tariknya sendiri. Pulau terdekat berjarak sekitar 45 Km dari Kota Jakarta. Karena ditempuh melalui jalur laut, maka anda tidak perlu terlibat kemacetan lalu lintas untuk mencapai objek wisata ini. Wilayah Kepulauan Seribu secara umum memiliki tiga peruntukan.;Tempat Wisata;4;-5.599316631190263, 106.54969959302885
5;Candi Borobudur;Candi Budha terkenal ini, yang dibangun pada kisaran abad ke-8 dan ke-9, terletak di Jawa Tengah. Candi Borobudur dibangun dalam tiga tingkatan: dasar piramida dengan lima teras persegi konsentris, batang kerucut dengan tiga platform melingkar dan, di bagian paling atas terdapat sebuah stupa monumental. Dinding dan langkan didekorasi dengan relief rendah halus, yang meliputi total luas 2.500 m2. Di sekitar platform melingkar terdapat 72 stupa kerawang, masing-masing berisi patung Buddha. Monumen ini dipugar dengan bantuan UNESCO pada tahun 1970-an.;Tempat Wisata;4,5;-7.607724912976241, 110.20376202623105
6;Taman Nasional Bromo Tengger Semeru;Taman Nasional Bromo Tengger Semeru adalah kawasan pegunungan di Jawa Timur, Indonesia, yang terletak di wilayah administratif Kabupaten Pasuruan, Kabupaten Malang, Kabupaten Lumajang dan Kabupaten Probolinggo;Tempat Wisata;4,5;-8.021853446517342, 112.95240621088722
7;Pantai Mandalika;Pantai Kuta, Lombok adalah tempat wisata di Pulau Lombok, Provinsi Nusa Tenggara Barat, Indonesia. Pantai dengan pasir berwarna putih seperti buliran merica ini terletak di Kawasan Ekonomi Khusus Mandalika di Desa Kuta. Pantai Kuta mulai dikenal dan dikembangkan sebagai destinasi wisata pada mulanya oleh PT.;Tempat Wisata;4;-8.900517749713979, 116.29467156991775
8;Labuan Bajo;Labuan Bajo adalah nama sebuah pelabuhan kecil yang terletak di Nusa Tenggara (Timur), pintu gerbang menuju obyek wisata terkenal bernama Pulau Komodo dan keajaiban pulau lainnya.;Tempat Wisata;5;-8.523879253524912, 119.48125467177633
9;Wakatobi;Wakatobi adalah singkatan dari nama pulau- pulau yang berada disana, yakni Wangi-wangi (ane/ penduduk setempat, menyebutnya Wanci, pulau utama Wakatobi), Kaledupa, Tomia, dan Binongko. Posisi Wakatobi sendiri berada di bagian bawah Provinsi Sulawesi Tenggara, berada di atas laut Banda. Beberapa wisata alam yang ada di Wakatobi adalah Pulau Hoga, Pulau One Mobaa, Pantai Waha, Pemandian Goa Kontamale, Perkampungan Bajo Mola.;Tempat Wisata;3,5;-5.577262790136113, 123.93108712030698
10;Murotai;Kabupaten Pulau Morotai adalah nama sebuah pulau sekaligus kabupaten definitif baru yang terletak di Kepulauan Maluku, Indonesia. Sebagai bagian dari provinsi Maluku Utara, Pulau Morotai merupakan salah satu pulau paling Utara di Indonesia.;Tempat Wisata;4,5;2.3992271139733328, 128.39890359038648
